Solution of SHM
Step Size = .1000 Euler Method
Time	y	v	Δy	Δv
0.000000	1.000000	0.000000	0.000000	-0.000000
0.100000	1.000000	-0.400000	-0.019933	0.002661
0.200000	0.960000	-0.800000	-0.038939	0.021163
0.300000	0.880000	-1.184000	-0.054664	0.054715
0.400000	0.761600	-1.536000	-0.064893	0.101288
0.500000	0.608000	-1.840640	-0.067698	0.157698
0.600000	0.423936	-2.083840	-0.061578	0.219762
0.700000	0.215552	-2.253415	-0.045585	0.282515
0.800000	-0.009789	-2.339635	-0.019410	0.340488
0.900000	-0.243753	-2.335720	0.016551	0.388024
1.000000	-0.477325	-2.238218	0.061178	0.419623
1.100000	-0.701147	-2.047288	0.112646	0.430296
1.200000	-0.905876	-1.766830	0.168482	0.415904
1.300000	-1.082559	-1.404480	0.225670	0.373477
1.400000	-1.223007	-0.971456	0.280784	0.301480
1.500000	-1.320152	-0.482253	0.330160	0.200013
1.600000	-1.368377	0.045807	0.370083	0.070941
1.700000	-1.363797	0.593158	0.396999	-0.082076
1.800000	-1.304481	1.138677	0.407723	-0.253636
1.900000	-1.190613	1.660470	0.399645	-0.436754
2.000000	-1.024566	2.136715	0.370923	-0.623110
2.100000	-0.810895	2.546541	0.320634	-0.803389
2.200000	-0.556241	2.870899	0.248908	-0.967695
2.300000	-0.269151	3.093395	0.156998	-1.106013
2.400000	0.040189	3.201056	0.047310	-1.208727
2.500000	0.360294	3.184980	-0.076632	-1.267132
2.600000	0.678792	3.040862	-0.210276	-1.273953
2.700000	0.982879	2.769345	-0.348186	-1.223816
2.800000	1.259813	2.376194	-0.484247	-1.113660
2.900000	1.497433	1.872268	-0.611913	-0.943064
3.000000	1.684659	1.273295	-0.724489	-0.714464
3.100000	1.811989	0.599432	-0.815447	-0.433253
3.200000	1.871932	-0.125364	-0.878747	-0.107735
3.300000	1.859396	-0.874137	-0.909163	0.251054
3.400000	1.771982	-1.617895	-0.902585	0.629668
3.500000	1.610193	-2.326688	-0.856290	1.012715
3.600000	1.377524	-2.970765	-0.769173	1.383429
3.700000	1.080447	-3.521775	-0.641900	1.724358
3.800000	0.728270	-3.953954	-0.477010	2.018114
3.900000	0.332874	-4.245262	-0.278919	2.248175
4.000000	-0.091652	-4.378411	-0.053848	2.399695
4.100000	-0.529493	-4.341751	0.190338	2.460289
4.200000	-0.963668	-4.129953	0.444379	2.420756
4.300000	-1.376663	-3.744486	0.697943	2.275692
4.400000	-1.751112	-3.193821	0.940019	2.023987
4.500000	-2.070494	-2.493376	1.159364	1.669139
4.600000	-2.319832	-1.665178	1.344988	1.219398
4.700000	-2.486350	-0.737245	1.486657	0.687696
4.800000	-2.560074	0.257295	1.575386	0.091360
4.900000	-2.534345	1.281324	1.603918	-0.548366
5.000000	-2.406212	2.295062	1.567141	-1.207020
5.100000	-2.176706	3.257547	1.462440	-1.857798
5.200000	-1.850951	4.128229	1.289968	-2.472576
5.300000	-1.438128	4.868610	1.052791	-3.023059
5.400000	-0.951267	5.443861	0.756938	-3.481989
5.500000	-0.406881	5.824368	0.411307	-3.824388
5.600000	0.175556	5.987121	0.027449	-4.028766
5.700000	0.774268	5.916899	-0.380776	-4.078242
5.800000	1.365957	5.607192	-0.797668	-3.961535
5.900000	1.926677	5.060809	-1.206244	-3.673759
6.000000	2.432758	4.290138	-1.588904	-3.216992
6.100000	2.861771	3.317035	-1.928138	-2.600576
6.200000	3.193475	2.172326	-2.207282	-1.841119
6.300000	3.410707	0.894936	-2.411273	-0.962183
6.400000	3.500201	-0.469347	-2.527368	0.006327
6.500000	3.453266	-1.869427	-2.545820	1.029093
6.600000	3.266324	-3.250734	-2.460439	2.066587
6.700000	2.941250	-4.557263	-2.269057	3.076511
6.800000	2.485524	-5.733764	-1.973820	4.015440
6.900000	1.912147	-6.727973	-1.581333	4.840582
7.000000	1.239350	-7.492832	-1.102613	5.511617
7.100000	0.490067	-7.988572	-0.552858	5.992518
7.200000	-0.308790	-8.184598	0.048972	6.253283
7.300000	-1.127250	-8.061082	0.680765	6.271500
7.400000	-1.933358	-7.610182	1.318006	6.033678
7.500000	-2.694377	-6.836838	1.934689	5.536263
7.600000	-3.378061	-5.759088	2.504324	4.786290
7.700000	-3.953969	-4.407863	3.001016	3.801628
7.800000	-4.394756	-2.826275	3.400578	2.610769
7.900000	-4.677383	-1.068373	3.681616	1.252187
8.000000	-4.784221	0.802580	3.826561	-0.226774
8.100000	-4.703963	2.716269	3.822591	-1.771423
8.200000	-4.432336	4.597854	3.662388	-3.321641
8.300000	-3.972550	6.370788	3.344723	-4.814083
8.400001	-3.335472	7.959808	2.874794	-6.184673
8.500000	-2.539491	9.293997	2.264327	-7.371202
8.600000	-1.610091	10.309793	1.531414	-8.315993
8.700000	-0.579112	10.953830	0.700055	-8.968511
8.800000	0.516271	11.185474	-0.200527	-9.287786
8.900001	1.634819	10.978966	-1.136862	-9.244563
9.000000	2.732716	10.325038	-2.072399	-8.823064
9.100000	3.765219	9.231952	-2.968867	-8.022287
9.200000	4.688415	7.725864	-3.787775	-6.856732
9.300000	5.461001	5.850498	-4.491979	-5.356552
9.400001	6.046051	3.666098	-5.047278	-3.567029
9.500000	6.412660	1.247678	-5.423956	-1.547432
9.600000	6.537428	-1.317387	-5.598208	0.630755
9.700000	6.405689	-3.932358	-5.553397	2.886227
9.800000	6.012454	-6.494634	-5.281068	5.130706
9.900001	5.362990	-8.899615	-4.781669	7.272266
10.000000	4.473029	-11.044811	-4.064947	9.218921
10.100000	3.368547	-12.834022	-3.149975	10.882381
10.200000	2.085145	-14.181441	-2.064794	12.181856
10.300000	0.667001	-15.015499	-0.845684	13.047686
10.400001	-0.834549	-15.282299	0.463955	13.424709
10.500000	-2.362779	-14.948480	1.815050	13.275168
10.600000	-3.857627	-14.003368	3.154598	12.581047
10.700000	-5.257964	-12.460318	4.427663	11.345687
10.800000	-6.503996	-10.357132	5.579524	9.594632
10.900001	-7.539709	-7.755533	6.557922	7.375562
11.000000	-8.315263	-4.739650	7.315302	4.757352
11.100000	-8.789227	-1.413545	7.810958	1.828219
11.200000	-8.930582	2.102146	8.013004	-1.307036
11.300000	-8.720367	5.674379	7.900062	-4.530527
11.400001	-8.152929	9.162526	7.462600	-7.715535
11.500000	-7.236677	12.423698	6.703844	-10.731258
11.600000	-5.994307	15.318369	5.640214	-13.447949
11.700000	-4.462470	17.716091	4.301231	-15.742260
11.800000	-2.690860	19.501080	2.728907	-17.502528
11.900001	-0.740752	20.577423	0.976567	-18.633827
12.000000	1.316990	20.873724	-0.892811	-19.062567
12.100000	3.404363	20.346928	-2.808728	-18.740417
12.200000	5.439055	18.985182	-4.695712	-17.647362
12.300000	7.337574	16.809559	-6.476155	-15.793766
12.400001	9.018530	13.874529	-8.073379	-13.221261
12.500000	10.405983	10.267117	-9.414780	-10.002413
12.600000	11.432694	6.104723	-10.434955	-6.239141
12.700000	12.043167	1.531646	-11.078669	-2.059822
12.800000	12.196332	-3.285621	-11.303526	2.384739
12.900001	11.867770	-8.164154	-11.082250	6.926482
13.000000	11.051354	-12.911262	-10.404435	11.386146
13.100000	9.760228	-17.331804	-9.277702	15.580041
13.200000	8.027048	-21.235895	-7.728150	19.327325
13.300000	5.903459	-24.446714	-5.800106	22.457425
13.400001	3.458787	-26.808098	-3.555101	24.817396
13.500000	0.777977	-28.191612	-1.070116	26.278860
13.600000	-2.041184	-28.502804	1.564865	26.744258
13.700000	-4.891464	-27.686331	4.249957	26.152098
13.800000	-7.660097	-25.729746	6.878974	24.480992
13.900001	-10.233072	-22.665707	9.343475	21.752217
14.000000	-12.499643	-18.572477	11.537037	18.030666
