Solution of SHM
Step Size = .0050 Euler Method
Time	y	v	Δy	Δv
0.000000	1.000000	0.000000	0.000000	-0.000000
0.005000	1.000000	-0.020000	-0.000050	0.000000
0.010000	0.999900	-0.040000	-0.000100	0.000003
0.015000	0.999700	-0.059998	-0.000150	0.000007
0.020000	0.999400	-0.079992	-0.000200	0.000013
0.025000	0.999000	-0.099980	-0.000250	0.000022
0.030000	0.998500	-0.119960	-0.000300	0.000032
0.035000	0.997900	-0.139930	-0.000349	0.000044
0.040000	0.997201	-0.159888	-0.000399	0.000059
0.045000	0.996401	-0.179832	-0.000449	0.000075
0.050000	0.995502	-0.199760	-0.000498	0.000093
0.055000	0.994503	-0.219670	-0.000547	0.000113
0.060000	0.993405	-0.239560	-0.000596	0.000136
0.065000	0.992207	-0.259428	-0.000645	0.000160
0.070000	0.990910	-0.279272	-0.000694	0.000186
0.075000	0.989514	-0.299091	-0.000743	0.000214
0.080000	0.988018	-0.318881	-0.000791	0.000244
0.085000	0.986424	-0.338641	-0.000839	0.000276
0.090000	0.984731	-0.358370	-0.000887	0.000311
0.095000	0.982939	-0.378064	-0.000935	0.000347
0.100000	0.981049	-0.397723	-0.000982	0.000384
0.105000	0.979060	-0.417344	-0.001029	0.000424
0.110000	0.976973	-0.436925	-0.001076	0.000466
0.115000	0.974789	-0.456465	-0.001122	0.000510
0.120000	0.972506	-0.475960	-0.001168	0.000555
0.125000	0.970127	-0.495411	-0.001214	0.000603
0.130000	0.967649	-0.514813	-0.001259	0.000652
0.135000	0.965075	-0.534166	-0.001304	0.000703
0.140000	0.962405	-0.553468	-0.001349	0.000756
0.145000	0.959637	-0.572716	-0.001393	0.000811
0.150000	0.956774	-0.591908	-0.001437	0.000868
0.155000	0.953814	-0.611044	-0.001481	0.000927
0.160000	0.950759	-0.630120	-0.001523	0.000987
0.165000	0.947608	-0.649135	-0.001566	0.001049
0.170000	0.944363	-0.668088	-0.001608	0.001113
0.175000	0.941022	-0.686975	-0.001650	0.001179
0.180000	0.937587	-0.705795	-0.001690	0.001247
0.185000	0.934058	-0.724547	-0.001731	0.001316
0.190000	0.930436	-0.743228	-0.001771	0.001387
0.195000	0.926719	-0.761837	-0.001810	0.001460
