Solution of SHM
Step Size = .0600 RK4 Method
Time	y	v	Δy	Δv
0.000000	1.000000	0.000000	0.000000	-0.000000
0.060000	0.992809	-0.239424	-0.000000	-0.000000
0.120000	0.971338	-0.475404	-0.000000	-0.000001
0.180000	0.935897	-0.704547	-0.000000	-0.000001
0.240000	0.886995	-0.923557	-0.000000	-0.000002
0.300000	0.825336	-1.129283	-0.000001	-0.000002
0.360000	0.751806	-1.318767	-0.000001	-0.000002
0.420000	0.667464	-1.489284	-0.000001	-0.000002
0.480000	0.573521	-1.638381	-0.000001	-0.000002
0.540000	0.471330	-1.763913	-0.000001	-0.000002
0.600000	0.362360	-1.864076	-0.000002	-0.000002
0.660000	0.248178	-1.937428	-0.000002	-0.000002
0.720000	0.130426	-1.982915	-0.000002	-0.000001
0.780000	0.010799	-1.999883	-0.000003	-0.000001
0.840000	-0.108984	-1.988086	-0.000003	-0.000000
0.900000	-0.227199	-1.947696	-0.000003	0.000001
0.960000	-0.342146	-1.879292	-0.000003	0.000002
1.020000	-0.452173	-1.783860	-0.000003	0.000002
1.080000	-0.555696	-1.662770	-0.000003	0.000003
1.140000	-0.651226	-1.517766	-0.000003	0.000004
1.200000	-0.737390	-1.350932	-0.000003	0.000005
1.260000	-0.812949	-1.164668	-0.000003	0.000007
1.320000	-0.876815	-0.961653	-0.000003	0.000007
1.380000	-0.928070	-0.744807	-0.000002	0.000009
1.440000	-0.965977	-0.517248	-0.000002	0.000009
1.500000	-0.989991	-0.282250	-0.000001	0.000010
1.560000	-0.999766	-0.043193	-0.000001	0.000011
1.620000	-0.995162	0.196486	-0.000000	0.000011
1.680000	-0.976244	0.433338	0.000001	0.000012
1.740000	-0.943286	0.663958	0.000001	0.000012
1.800000	-0.896760	0.885029	0.000002	0.000012
1.860000	-0.837337	1.093370	0.000003	0.000012
1.920000	-0.765871	1.285986	0.000004	0.000011
1.980000	-0.683389	1.460106	0.000004	0.000010
2.040000	-0.591079	1.613226	0.000005	0.000010
2.100000	-0.490267	1.743143	0.000006	0.000009
2.160000	-0.382404	1.847989	0.000006	0.000007
2.220000	-0.269040	1.926256	0.000007	0.000006
2.280000	-0.151808	1.976818	0.000008	0.000004
2.340000	-0.032391	1.998949	0.000008	0.000002
2.400000	0.087491	1.992329	0.000008	0.000001
2.460000	0.206114	1.957054	0.000009	-0.000002
2.520000	0.321773	1.893631	0.000009	-0.000004
2.580000	0.432805	1.802973	0.000008	-0.000006
2.640000	0.537611	1.686383	0.000008	-0.000008
2.700000	0.634685	1.545539	0.000008	-0.000010
2.760000	0.722630	1.382466	0.000007	-0.000012
2.820000	0.800183	1.199509	0.000007	-0.000014
2.880000	0.866226	0.999300	0.000006	-0.000016
2.940000	0.919811	0.784718	0.000005	-0.000017
3.000000	0.960166	0.558850	0.000004	-0.000019
3.060000	0.986712	0.324945	0.000003	-0.000020
3.120000	0.999066	0.086365	0.000002	-0.000021
3.180000	0.997051	-0.153456	0.000001	-0.000022
3.240000	0.980695	-0.391070	-0.000001	-0.000023
3.300000	0.950235	-0.623060	-0.000002	-0.000022
3.360000	0.906108	-0.846089	-0.000004	-0.000022
3.420000	0.848948	-1.056948	-0.000005	-0.000021
3.480000	0.779578	-1.252606	-0.000007	-0.000021
3.540000	0.698996	-1.430247	-0.000008	-0.000019
3.600000	0.608360	-1.587318	-0.000009	-0.000017
3.660000	0.508975	-1.721559	-0.000010	-0.000015
3.720000	0.402269	-1.831040	-0.000011	-0.000013
3.780000	0.289778	-1.914185	-0.000012	-0.000010
3.840000	0.173118	-1.969799	-0.000013	-0.000007
3.900000	0.053969	-1.997082	-0.000013	-0.000004
3.960000	-0.065957	-1.995642	-0.000013	-0.000001
4.020000	-0.184933	-1.965499	-0.000014	0.000002
4.080000	-0.301250	-1.907087	-0.000014	0.000006
4.140000	-0.413235	-1.821246	-0.000014	0.000009
4.200000	-0.519275	-1.709210	-0.000013	0.000012
4.260000	-0.617848	-1.572592	-0.000012	0.000015
4.320000	-0.707533	-1.413355	-0.000011	0.000018
4.380000	-0.787043	-1.233791	-0.000011	0.000022
4.440000	-0.855233	-1.036481	-0.000009	0.000025
4.500000	-0.911122	-0.824264	-0.000008	0.000027
4.560000	-0.953907	-0.600192	-0.000006	0.000029
4.620000	-0.982972	-0.367488	-0.000005	0.000031
4.680000	-0.997900	-0.129498	-0.000003	0.000032
4.740000	-0.998475	0.110355	-0.000001	0.000032
4.800000	-0.984689	0.348620	0.000001	0.000032
4.860000	-0.956741	0.581871	0.000003	0.000032
4.920000	-0.915032	0.806753	0.000005	0.000033
4.980000	-0.860163	1.020032	0.000007	0.000032
5.040000	-0.792922	1.218641	0.000009	0.000030
5.100000	-0.714277	1.399721	0.000011	0.000028
5.160000	-0.625358	1.560671	0.000013	0.000025
5.220000	-0.527446	1.699173	0.000014	0.000022
5.280000	-0.421947	1.813237	0.000015	0.000018
5.340000	-0.310380	1.901221	0.000017	0.000015
5.400000	-0.194348	1.961861	0.000018	0.000011
5.460000	-0.075521	1.994285	0.000019	0.000007
5.520000	0.044392	1.998024	0.000019	0.000002
5.580000	0.163666	1.973027	0.000019	-0.000002
5.640000	0.280587	1.919653	0.000019	-0.000007
5.700000	0.393472	1.838669	0.000019	-0.000012
5.760000	0.500698	1.731240	0.000018	-0.000016
5.820000	0.600722	1.598911	0.000017	-0.000020
5.880000	0.692106	1.443585	0.000016	-0.000024
5.940000	0.773536	1.267497	0.000015	-0.000029
6.000000	0.843841	1.073179	0.000013	-0.000033
6.060000	0.902009	0.863425	0.000011	-0.000036
6.120000	0.947203	0.641254	0.000009	-0.000039
6.180000	0.978774	0.409859	0.000006	-0.000041
6.240000	0.996268	0.172569	0.000004	-0.000042
6.300000	0.999433	-0.067202	0.000002	-0.000043
6.360000	0.988223	-0.306007	-0.000001	-0.000043
6.420000	0.962800	-0.540411	-0.000004	-0.000045
6.480000	0.923530	-0.767042	-0.000006	-0.000044
6.540000	0.870976	-0.982641	-0.000009	-0.000042
6.600000	0.805896	-1.184107	-0.000012	-0.000040
6.660000	0.729224	-1.368543	-0.000014	-0.000037
6.720000	0.642065	-1.533295	-0.000016	-0.000033
6.780000	0.545670	-1.675994	-0.000018	-0.000029
6.840000	0.441428	-1.794588	-0.000020	-0.000025
6.900000	0.330837	-1.887371	-0.000021	-0.000020
6.960000	0.215487	-1.953008	-0.000023	-0.000015
7.020000	0.097038	-1.990556	-0.000024	-0.000010
7.080000	-0.022806	-1.999475	-0.000025	-0.000004
7.140000	-0.142323	-1.979635	-0.000025	0.000002
7.200000	-0.259793	-1.931324	-0.000024	0.000008
7.260000	-0.373526	-1.855234	-0.000024	0.000014
7.320000	-0.481886	-1.752462	-0.000023	0.000019
7.380000	-0.583316	-1.624484	-0.000022	0.000025
7.440000	-0.676356	-1.473142	-0.000021	0.000031
7.500000	-0.759669	-1.300612	-0.000019	0.000036
7.560000	-0.832055	-1.109376	-0.000017	0.000041
7.620000	-0.892475	-0.902184	-0.000014	0.000044
7.680000	-0.940058	-0.682016	-0.000012	0.000048
7.740000	-0.974120	-0.452039	-0.000009	0.000050
7.800000	-0.994172	-0.215561	-0.000006	0.000052
